what,kind,bundleId,bundleVersion,description,time
activated,view,org.python.pydev,2.0.0.2011040403,"org.python.pydev.navigator.view",1324030443034
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030455577
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030475271
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324030478180
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324030483676
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324030492714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030492724
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030492733
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030505118
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030541038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324030546606
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030546614
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030546638
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030563978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030620549
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324030622319
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324030622901
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1324030634846
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030634854
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030634876
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324030646392
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324031101618
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1324031104079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324031130869
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1324031313801
