what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323869366816
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869366819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869366822
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869367880
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869399314
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323869403509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869403510
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869403579
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869405208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869506273
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.toggleOverwrite",1323869516492
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.toggleOverwrite",1323869518371
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323869540015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869540030
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869540036
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323869543529
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869543530
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869543585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869544664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869587025
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1323869593501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1323869594427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1323869728401
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869728402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323869728462
